Course_Name,course_info
INTRODUCTION TO MUSIC AND ITS MEANING ,"From the beginnings of human civilization, music has been an important part of 
life, playing a part in religious rituals and ceremonies, festivals and daily 
life, and accompanying human beings in times of peace and times of war. But 
why is it that music has such a power over the emotions, and how can we learn 
to talk about music and analyze what it is?
The aim of this course is to provide you with the tools to become intelligent 
listeners of music. After learning to recognize and describe formal elements 
of music, such as melody, harmony, rhythm, texture, timbre, musical form we 
will study the history of Western classical music, mainly from the Barogue 
period to the Romantic period.    
Listening exercizes and class participation will constitute an important part 
of instruction."
MUSIC IN THE TWENTIETH CENTURY ,"The Twentieth-Century represents one of the most exciting and wide-ranging 
chapters in musical history. Modernist classical composers like Arnold 
Schoenberg and John Cage radically challenged existing notions of what music 
is supposed to be and its esthetic meaning. This led to forms of western art 
music that were ever more experimental, diverse, and challenging: atonal 
music, serialism, neo-classicism, minimalism, multimedia and electronic 
compositions, and postmodernism.  Yet at the same time that “classical music”
(western art music) seemed to become more and more esoteric,  the drastic 
revolutions in the technology of recording and sound production led to the 
emergence of music as a global cultural phenomenon.

The goal of this course is to study both of these sides of music in the 
Twentieth-Century.  In the first half of the semester we will study the 
exciting developments in classical music in Europe and America that led from 
the late Romanticism of Wagner, Mahler and Strauss to 20th century 
impressionism, atonality, serialism, minimalism, neo classicism, avan-garde, 
and postmodernism.  We will also study the parallel develops of popular music 
in America from Blues, Jazz, Rock and roll to Hip-Pop and Rap. While the main 
focus of this course will be on understanding and appreciating the music 
itself from a musical perspective and recognizing the underlying structures 
and musical concepts, we will also consider historical background, and the 
importance of music as a crucial element of modern culture. And finally we 
will try to think about the role that music plays in creating a truly global 
society."
BIBLE AND LITERATURE ,"This course will deal with one of the two pillars of the western civilization; the Ancient Near East including  the Biblical(Hebraic) World! However, you will realize by the end of the semester that this ANE civilization and culture are none other than the first human accomplishment, which later on paved 
a way for the rise of Western Civilization. It will seek to introduce the history and literature of the ANE in relation with the Bible to the students; 
Egyptology, Hittitology, Assyriology, and if possible, Minoan civilization in ancient Greek in passing. 
The course will be operative with the Hebrew Bible (or Old Testament) in mind, as the Biblical narratives (such as creation story, prophecy, and 
historical books) are relatively well known to the intellectuals; the students would be able to compare the Biblical records (narratives, poems, prophecy, and historiography) with the corresponding ANE texts in academic terms by locating them within the world of the ANE.
The goal of the course is to give students a balanced view on the roots of western civilization; Hebraic (in the context of ANE) and Greek worlds.It is 
deemed timely as the world we know it is now struggling to solve potential conflicts between seemingly different civilizations, in particular, 
between Jewish/Christian and Islamic persuasions. The understanding of the common motives and roots of both the eastern and western civilizations
will contribute to a more harmonious development of human history.
Besides the ancient literature, you would be given an opportunity to learn some of the ancient languages necessary for the study, though 
on introductory levels.
You will be exposed to such a few semitic languages and pictorial signs as 
Classical Hebrew, Akkadian(cuneiform), and Hieroglyph (Ancient Egyptian)."
FICTION WORKSHOP: FROM SHORT STORY TO NOVEL ,"You will become familiar with the writing process, critique fiction in progress in a workshop environment, and work on writing exercises as well as a longer short story or novel chapter. The long-term goal is to develop regular writing habits and a writing schedule, and especially, to learn how to read as a writer."
APPROACHES TO WORLD CINEMA ,"This course offers an overview of the history and aesthetics of non-Western films. It explores how these films have responded to the social, economic, political and cultural transformations in the non-Western worlds such as Asia, Latin America, Africa, and the Middle East from the postcolonial era up to the present. Students will have opportunities to understand key non-Western film movements and filmmakers, as well as concepts, issues, and approaches relevant to non-Western cinemas. This course will give students a clear sense of the historical significance of non-Western films overlooked by Euro-American-centric film historiography."
INTERCULTURAL COMMUNICATION ,"This class provides an overview of communication between cultures from the 
perspective of communication.  The course emphasizes culture as a context for 
communication, provides an overview of communication variables affecting 
culture and barriers preventing communication among cultures.   
You will: 
- Develop understanding of the intercultural communication process 
- Enhance appreciation of the diverse ways of communicating in different cultures 
- Develop analytical skills in examining intercultural interactions 
- Increase understanding of cultural issues that influence communication 
effectiveness

Most of all, you will learn from each other and without a doubt you will learn 
about yourself."
ADVANCED CHINESE READING ,"In this course, the explanations of some grammatical concepts that are first introduced in Level 1 will be further expanded and explored in more detail. Some language structures that are similar to each other will be contrastively discussed.
There are four topics (four lessons) will be covered during one semester. After learning one lesson, a content-related article will be provided to students to improve students` reading and writing skills.  
In the class, some authentic materials will be used in order to increase students’ cultural competency and knowledge of Chinese society.   

Students who take this course are expected to achieve the following goals by the end of this semester. 
(1) 400 words and phrases will be taught.
(2) 50 grammar points and their usage will be achieved.
(3) Social conversational skills and fluency will be improved.
(4) Reading and Writing ability will be developed.
(4) Understanding of Chinese society will be deepened."
"SELF-LEADERSHIP,CREATIVE IDEAS AND SOCIAL ISSUES ","My original title for the course was `Monotheism in post modern world.` As indicated, the course aims to unearth the wisdom of Monotheism, in order to deal with post 9/11 world. The world we live in at the present age is marked by a new species of conflict unseen before; ideology has long been replaced by seemingly looming confrontation of so called civilizations (S. Huntington), and further widening gab of wealth among economic players, to name a few. There have been many courses dealing with the prevalent global issues, but  all too few about `how to deal with the underlying issues behind the scene; moral and spiritual ones. The real isssues are about philosophy, ethics, morals and spiritual aspects quintessentially. The course will attemt to initiate a conversation with  philosophical and moral foundations of modern day conflicting issues by inviting the conventional ideas drawn from wellspring of Biblical literature."
BUSINESS AND SOCIAL RESPONSIBILITY ,"Course Outline

1)This course is designed to provide students with an overview of business/marketing in the global context.   

2)We also discuss the best online/offline practices for brands/customer relationships /distribution channels/advertising in Korea and Overseas.

3)As part of our curriculum, student groups apply in-class materials to develop their own startups by following the guidance provided by Yonsei Enterprise Support Foundation.  Students will have a hand-on experience of doing business in real world markets. Upon successfully completing this course, the CBL certificate (Community-based Learning Certificate) will be issued by Yonsei University to students. The certificate will be very useful in pursuing job or academic careers. 

4)By going through all the steps with their group members like Silicon Valley-style startup folks, students would get to a deeper understanding of business and social responsibility. 

5)There will be several guest speakers (from industry) and possibly group sessions on Thursdays (instead of Tuesdays). Students are expected to stay in class until 6:50 pm on Thursdays if required.      
If you have any questions about scheduling, please contact me at jsuh123@yonsei.ac.kr.

6) This class is also designated as a Social Innovation Certificate (SIC) course by Yonsei University. The course contents and practices will be related to social innovation and social problem solving. The Institute of Higher Education Innovation (IHEI) may collect and accumulate student assignments and course contents for further purpose. For more details regarding the SIC, please visit the IHEI`s website, http://ihei.yonsei.ac.kr."
LAW AND POLICY ,"This course is designed to give students an understanding of the philosophical and institutional ‘operating system’ of the United States. By learning about how the country is supposed to operate, we can better understand the processes by which the US government acts, including how ideas become policies and the structural limitations on the executive branch. This will give us a better understanding of how the US is able to act in international relations, and how domestic policies (e.g. trade or human rights) that can affect the rest of the world are shaped.
The course will be conducted collaboratively with universities in the United States, and students at Yonsei will interact with students from those universities in online discussions as part of their assessment."
GENRE STUDIES: READING AND WRITING GENRE FICTION ,"Genre Studies 

This course will focus on the art and craft of writing Genre Fiction. Mystery, 
Fantasy, Romance, Science Fiction, Horror, Inspirational, and 
other genres will be explored during weekly readings. Students will create 
original works of genre fiction that will be reviewed in small and large 
discussion groups. Literary topics of form, character, dialogue, and other 
contemporary strategies will be at the forefront of our weekly meetings. 
Special emphasis will be given to the investigation and construction of 
dramatic plot.

Additional course texts will map genre lines and introduce hybrid storytelling 
from around the world. After the first few weeks of literary analysis, we`ll 
begin to workshop student fiction. Members of this class will submit and 
receive feedback on at least two stories. All classes will be highly 
interactive, and members will experiment with new writing styles and gain 
insight from a group of diverse and thoughtful readers."
TOPICS IN FEMINISM ,"A Room of One`s Own  

This course is concerned with the interpenetrations of feminist thinking and literary style. Beginning with 
Virginia Woolf’s A Room of One’s Own and Three Guineas, we will consider such feminist figures as Simone 
de Beauvoir, Adrienne Rich, Julia Kristeva, and Judith Butler."
ART IN PREMODERN EAST ASIA ,"In this course, we will mainly study the cultural exchanges through art in East Asian region pertaining to the period between the 14th to 19th centuries. 
First of all, we will survey the art theory and issues of ceramics, Buddhist art and traditional paintings. Especially through researching concrete and representative art works of China and Korea, we can understand the cultural and historical meanings. 
And we`ll also deal with the cultural exchanges between Korea and her neighboring countries and make the design and plan for small special exhibitions on the basis of the analysis of art relics."
READINGS IN MEDIEVAL EUROPEAN LITERATURE ,
"PHILOSOPHY AS LITERATURE, PHILOSOPHY AS AUTOBIOGRAPHY ","The ultimate paradox of thought, writes Kierkegaard’s pseudonymous speaker Johannes Climacus, is “to want to discover something that thought itself cannot think.” Thought thus calls upon language’s generative power to create a referent in its absence. 

Arguably since the days of Plato and Aristotle, literature and philosophy have been in dialogue and quarrel with each other. The pat division of disciplines in our era suggests that philosophy aspires to closure, to coherent systems and solutions, while literature seeks to disrupt and to keep intractable elements alive. Yet the boundaries of knowing and creating are rather fungible, constantly up for negotiation and conceived through the individuating mark of style.

For the writers featured in the course, the enterprise of philosophy is a deeply personal one, mediated through the jagged edges of the life lived, failed, and rediscovered in reflection. It requires the invention of genres such as the essay and the autobiography. It trades in the problems (and plays) of authorial voice, narrative representation, and readership. We will read philosophy as a form of literature, testing our interpretation or even aesthetic appreciation with and against the moral and ethical quandaries at stake."
MEDIEVAL CULTURE AND MODERN FILMS ,"Some films can be a gateway to history, legend, or myth in the past. But films as a fictive reality have their own agenda.
This course will approach medieval culture and society through the lens of films devoted to medieval period, 
but without sacrificing the latter`s autonomy for the former`s authenticity. So we can focus on the distance 
between medieval reality and fictive filmic performances, the roles of medieval male and female characters, 
and each film`s special cinematographic or meta-filmic elements. Students will be encouraged to discuss 
any topics that come to mind in the classroom. For the professor`s side, one of them will be about the reasoning methods 
to solve riddlesome criminal cases appearing in a portion of the given films."
EUROPEAN MODERNISM ,"This course will examine some major texts on European modernity together with postmodern challenge. The selections from the works of Hegel, Heidegger, Wittgenstein and others will be discussed with the critical lectures/discussion of the issues in phenomenology, epistemology and philosophy of art."
정치및공공경제 ,"In this class we will study how a government makes decisions and what decisions it should make. This leads us to a variety of interesting topics such as political processes, tax policies, and so on. For example, to enact a government policy, citizens must elect the party that will take charge of the government. A typical method of election is the majority voting, which begets interesting questions: when each citizen has a different preference from each other, what will be the outcome of the majority voting? Will the outcome be efficient? If not, how can we restore efficiency in electing the government? We will study these interesting topics in this class, using economic models."
MODERN ISRAEL AND THE MIDDLE EAST ,"History of Israel as a small and highly developed nation, which is laid in the most unstable and violent the Middle East surroundings, is unique and is worth to be discussed and analysed. Better knowledge of Israeli society, politics, and economy, its domestic and foreign policy might be taken and a key to eliminating and resolving current conflicts, or at the very least finding further solutions for stabilising of the whole region.
This course suggests the overview and analytical insight in the regional conflicts in their historical and modern perspectives with the special attention to the modern Israeli state and society."
TERRORISM AND INTERNATIONAL SECURITY ,"Security is the single most important concept in International Relations, but 
the way we think about it has changed greatly over time. This course will look 
at the different facets of security as the concept (and the world) has 
evolved. We will begin with traditional military security, and what might be 
called strategic studies, and follow the evolution of the idea to include 
newer and increasingly important concepts such as human and environmental 
security. By the end of the course, students will have a well-rounded 
understanding of the concept of security, and will be able to use it as a tool 
to investigate all aspects of international relations.
NB: Please excuse the title; this is not a course focused on terrorism, but for administrative reasons this course uses the title of an older course that was."
INTRODUCTION TO CYBERSECURITY ,"This course is designed to introduce students to the wide range of 
opportunities and threats that have opened up with the advent of the 
information age. Students will come to understand holistically how 
cybersecurity connects to a wide range of issue areas in international 
security (military, economic, social, etc), and how the digitization of 
information leads to new vulnerabilities that traditional Security Studies has 
never faced before. This will give students a head start when they inevitably 
have to deal with cyber-related issues throughout their careers."
THE TWO WORLD WARS ,"The world by the beginning of the 20th century became highly interdependent and intervisible in terms of production and consumption, building states and nations, forming new political systems and ideologies. Socio-political and economic development of some countries showed their uneven distribution and, hence, influence on the global scale. Anxieties among the more experienced players of losing the imperial race and the desire of newcomers to join the competition led to the horrific outbreaks of bloody conflicts and wars. Our course “The Two World Wars” tends to identify the underlying mechanisms of the global processes that led to the large-scale conflicts. We will also try to distinguish those ideas and ideologies that determined the subsequent actions of the great powers to spread their influence. The Great War and the Total War (World War I and World War II, respectively), as believed, were the last global conflicts that allowed us to produce gradual positive changes in international relationships and internal changes toward honoring the civil and human rights of every individual. This course, however, spends little time on describing military battles and operations, yet focuses on the change in international relations and foreign policy of major powers involved in the conflicts as well as the change in human behavior."
NEW ERA OF GLOBAL FINANCIAL SYSTEM ,"This course is intended to study and understand 
1) basic financial knowledge including IRR, duration, options, CAPM and etc., 
2) What you might have to do financial analysis,
3) what happened to the world during 2008 global financial turmoil, and 
4) How to invest your valuable resouces for the future."
현대생명과학연구세미나 ,Ten to twelve professors of the department each present their on-going research. The weekly schedule will be announced later.
생리학(2) ,"The objective of the class is to understand the basic concept on how 
organisms, organs, cells and biomolecules carry out the chemical or physical 
functions that they have in a living system. 
In this semester, the class will cover the respiratory, gastrointenstinal, 
renal and endocrine systems."
GAME THEORY AND POLITICAL STRATEGY ,"This is an introductory course in game theory. Various applications will be considered.
 
This syllabus preview may be modified in the future."
SURVEY RESEARCH METHODS ,"This course is designed to introduce students to the methodology of survey research. We will consider all practical aspects of survey research and polling, from sampling to questionnaire design to methods of data collection to data analysis. The goal of the class is to give you an introduction to every major topic so you can become a well-informed consumer of surveys. By the end of the semester you will not be expert at everything, but you will learn enough to ask the right questions. Students interested in pursuing survey research are strongly encouraged to take additional classes on statistics and public opinion."
NATIONALISM AND SOCIAL MOVEMENTS IN EAST ASIA ,"The Relations between nationalism and social movements have not been studied much, though both are social phenomena that are based on collective identities, which are the bases of politics of modern time.  Especially when we try to understand the international relations or political history of countries in East Asia, we often understand nationalisms in the region only as the roots of the conservative or even totalitarian political ideologies that reproduce the conservativism and deepen the conflicts between the countries in the region. This perspective is also related to the old prejudice of nationalism studies that regards non-Western nationalism as ethnic and dangerous. 
	This course aims to investigate the basic relations between nationalism and social movements in East Asia. First, this course investigates the changes in theories of social movements and explore how social movements and collective identities are connected. Second, understanding nationalism as ongoing process with the incessant competition between the groups in the society, this course reads the social movements in East Asia as attempts of creating collective identities countering robust official nationalist narratives. Given the strong nationalism as the condition of nation-building process of the countries in the region, this course will study how various counter narratives of nationalism emerge and the different intentions of creating collective identities from the groups that compete with the idea of favorable nation and state in the public sphere through specific cases of social movements based on nationalism."
"LAW, JUSTICE AND SOCIETY ","The course is designed to broaden students’ perspective towards law so that the students can understand law’s functioning in various social contexts and to encourage students to develop their ideas about controversial issues in law and society. This course encompasses theories and theoretical perspectives on law and society with extensive examples. Also, it focuses more on the constitutional law dimension when approaching the legal system and structure. This course, therefore, aims to give overall knowledge and information about Korean government and constitutional law. Modern Constitution and Administrative laws, including a wide variety of relative laws, rules, or orders, and principles, provide a broad contour for the nation that the rule of law and the democracy manifested in our society. 
In the rest of the term, specific topics will be discussed ? law and the economy, dispute resolution, the legal profession and legal education, and the judiciary in perspective of legal reform. In the last two weeks of the term, students will present their research."
BIOETHICS ,"Bioethics concerns ethical and policy issues surrounding life sciences research, medicine, and health policy. As technology advances, it raises ever more urgent questions about the proper division between science and biology, as new techniques make it easier than ever to produce the kinds of changes that usually take nature thousands of generations and millions of years to produce. Likewise, new medicines and procedures continually blur the line between what is an acceptable treatment and what is an unacceptable performance enhancer. Age-old questions abound as well, for example about the right to end one’s own life, or the moral status of an unborn fetus. Finally, all modern societies must deal with vexing policy issues regarding the just distribution of medical and other resources to support the health and welfare of even their poorest citizens. Although all of these issues have a distinctly ethical aspect, we will learn that the most responsible ethical positions must be heavily informed by practical understanding. Accordingly, this course will study the problems from the perspectives of philosophy, science, history, law, and economics to gain a better understanding of the real world consequences of our choices.

Target knowledge and skills to be developed:

- Understanding of the core issues in Bioethics
- Understanding the basis for making ethical and policy decisions
- Ethical and policy analysis
- Critical thinking and debate skills
- Clear and effective persuasive writing"
미국정치 ,"This course provides a sweeping overview of the American political tradition.  We will trace the origins of the United States Constitution and the development of the federal government, paying particular attention to the relationships among the executive, legislative and judicial branches of government and the distribution of power among political institutions across the national, state and local levels.  We also will explore broader questions about campaigns and elections, citizen participation and public opinion, as well the roles of political parties, interest groups and the news media.   You will be encouraged to think for yourself about the political development of the United States in a global context and communicate your views in a logical and persuasive manner."
THEORY OF FINANCIAL ANALYSIS ,"By the conclusion of this course you will i)understand basic financial theory 
and practices, ii) develop the big picture of managerial finance so you can 
understand how things fit together, and iii) strengthen your skills in 
analyzing financial problems, identifying the issues, and making financial 
decision. Topical coverage will include: fundamental concepts of finance, time 
value of money, stock and bond valuation, risk & return, portfolo theory, CAPM, 
cost of capital, capital structure, and capital project evaluation methodologies."
보건정책세미나 ,"보건정책이란 무엇인지를 개관하고 그 후에는 현대사회에서 문제가 되고 있는 보건의료이슈들에 대한 바람직한 정책을 모색해보도록 함. 강사는 강의와 읽을거리를 통하여 학생들에게 대략의 정보와 방향성을 제시하지만 학생들이 스스로 토론을 통하여 특정 이슈에 대하여 자신들만의 논리적인 견해를 갖을 수 있도록 하는 것이 본 수업의 목표임. 

*본 과목은 고등교육혁신원 사회혁신가 인증 교과목에 해당되며, 수업과정 중 사회혁신 및 사회문제 해결과 관련한 내용의 강의 및 실습이 함께 포함됩니다. 아울러, 수업 내 학생 제출 결과물 중 일부는 고등교육혁신원에서 추후 사회혁실활동 결과물로 활용될 수 있습니다."
TECHNOLOGIES IN FINANCIAL INDUSTRY AND POLICY ,"Behind the stunning fa?ade of AI and Big Data, technologies are progressing from well-defined, pointwise, and deterministic problems toward not-well-defined problems, interpersonal problems, and/or even societal problems involving fluid, dynamic, and/or forward-looking situations without the unique solutions to necessitate choices and decisions. Even though where the progression will bring us might be quite different from our current expectations, the progression, however, will bring us to quite a different, probably unchartered, world. Here we would like to understand what the technologies are and improve our educated imagination power of new worlds. 

We will study the technologies such as AI, Big Data, and FinTech from the perspective of non-technical majors as well as their social and policy implication. Financial industry has been pioneering the technological developments for more than 20 years, though unnoticeable to most people. As such, developments in both traditional financial industry and upcoming financial industry (FinTech) would make up a significant part of the course."
GLOBALIZATION AND ITS ISSUES ,"Course Description:
Until 1980s, political theorists had a tendency to ignore or avoid 
international issues and focus on domestic political contexts. Since the end of 
twentieth century, however, the term “globalization” has been an all-purpose 
catchword not only in public opinion but also in scholarly debate. Today, it is 
impossible to understand world affairs without grasping the contemporary 
phenomenon of globalization.
But, what is globalization? What are its main issues? This course aims to help 
students to conceptualize globalization and its diverse dimensions such as 
political, economic, cultural, and ideological. Based on this understanding, 
students will investigate the following questions: how are goods, capital and 
people moving around the world in new ways?; how do these radical movements 
change politics locally and globally?; how do they relate to national security 
and national sovereignty?; how do we share the benefits of globalization?; Are 
there duties of global justice?; Does global justice require the development of 
global democratic institutions or a world state?; When and how is coercion or 
the use of force in world politics ever justified?  
While exploring these questions, students will learn to understand 
globalization as a complex phenomenon involving constant change in need of 
being reframed.
Course Objectives: 
This course will enable students to: 
1) Understand different dimensions of contemporary globalization. 
2) Critically examine current political, economic, and cultural events and 
issues of globalization in newspapers, films, and other media. 
3) Develop  her/his  own  interest  in  a  particular  issue  or  theme  
pertinent  to globalization by conducting a group presentation and writing two 
term papers based on individual research."
SUSTAINABLE DEVELOPMENT AND ENERGY POLICY ,
지속가능한도시개발 ,
화공열역학(2) ,"This course deals with phase equilibrium and solution thermodynamics based on basic principle of thermodynamics. It is expected that students will be able to select appropriate relations and use them to evaluate the change of thermodynamic properties when system reaches equilibrium. Furthermore, student will be albe to examine non ideality of fluid mixture."
유기화학(2) ,"The course focuses on the basic concepts of organic chemistry, the methods used to identify the structure of organic molecules, electron pushing organic reaction mechanisms, and methods used for the synthesis of organic compounds. Thorough understanding of the topics covered in the Organic Chemistry 1 course is required. 

Topics include:
(1) Aromatic compounds: structure and reactivity, aromaticity and Molecular Orbital theory 
(2) Spectroscopy, spectrometry, and structure elucidation with an emphasis on the application of infrared spectroscopy (IR) and nuclear magnetic resonance spectroscopy (NMR).
(3) Organometallic compounds, cross-coupling reaction, metal-catalyzed polymer synthesis.
(4) Alcohols, ether and epoxides: structure and reactivity. 
(5) Aldehydes and ketones: nucleophilic addition. 
(5) Carboxylic acids and their derivatives: nucleophilic acyl substitution. 
(6) Enols and enolates: condensation reactions.
(7) Amines and phenols: structure and reactivity."
PHARMACOLOGY ,"This course provides the basic concepts and scientific underpinnings of pharmacology including scientific principals to diseases prevention and rational use of drug. The goals are understanding the action of drug and underlying mechanism, rational use of drug, and drug development."
INTRODUCTION TO LITERARY STUDIES ,"This course provides an introduction to the study of narrative. We start with the premise
that short stories and novels are modes of thought with which writers and readers have
engaged with the world for centuries. Works of fiction tell stories that are continuously
being reimagined and rewritten. As readers, we are engaged in the project of rewriting,
finding new ways to relate fiction to our lives, connect with it, and make it meaningful to 
ourselves and others. In this course, students will develop a solid understanding of a
few key ideas about how narrative works and a vocabulary for describing it.
Lectures and discussion will attend not only to close readings of selected works of 
fiction, but also engage with questions about what literature is and what we do when
we read and write about it."
INTRODUCTION TO ACADEMIC WRITING ,"This course will help you develop academic reading and writing skills. You 
will practice reading strategies, as well as how to write different types of 
paragraphs and essays; various language points will also be studied."
TOPICS IN MEDIA AND POPULAR CULTURE ,"The aim of this course is to understand contemporary cinema through the perspective of gender studies. Students will be introduced to current interpretive concepts at the intersection of film studies and gender studies and learn to apply them to film texts. Each week there will be two types of assignment: critical essays and select films addressing the issues of gender and sexuality, which we will synthesize into fresh interpretations, critiquing both in the process. The goal of the exercise will be an outlook on contemporary discourse--from ideas to practices--in the arena of gender and sexuality."
주니어세미나(CHIRALITY AT THE NANOSCALE) ,"Name of the Course: Chirality at the Nanoscale 

This course will give UIC students an overview of interdisciplinary field of chiral nanomaterials which successfully combines the chemistry, physics, biology and materials science. Major types of chiral nanostructures (from DNA nanoassemblies to carbon nanotubes and metal nanoparticles) will be presented on primary literature examples. Applications of chiral materials in sensing, medicine and synthesis will be discussed. Molecular models will be used to explain chirality at the nanoscale. Students will prepare posters where they will summarize they chirality literature research."
주니어세미나(NEURAL NETWORK AND DEEP LEARNING) ,"This course, titled as `neural network and deep learning`, studies the neural structure of the brain and its applicational computer algorithm, called deep learning. Followed by two lectures by the instructor, two teaching assistants will explain about actual programming of deep learning in Matlab or Python for additional four hours. The remaining of this course will consist of presentation of the participating students about their research presentations on neural network (theory) or deep learning (programming)."
KOREAN WRITING AND CHINESE CHARACTER ,"This course is designed to enhance the writing skill of undergraduate at 
UIC. Combining reading comprehension, discussion, and writing training 
together, the class equips students not only to have a better command of 
modern Korean, including Sino-Korean/Chinese vocabularies, in terms of logical and 
critical thinking, but also to improve academic writing prepared for research 
capacity at college level. In particular, discussion will center on 
presentation as one of major class activities for the betterment of 
communication skills while writing exercise, based on assigned readings, will 
enhance critical thinking. For this purpose, the course material provides with 
students a list of selected Korean writings from the newspapers, magazines, 
and books in modern Korean."
BASIC DRAWING 2 ,"This course deals with drawing techniques with a focus on  developing skills 
in observation, visual sensitivity, and concrete expression.
Students will learn the basic elements of drawing, including lines, planes, 
forms, light, value, color based on color theory ."
APPLICATIONS OF TECHNOLOGY ,"Technology is a tool. It always has been throughout time. Humankind makes use of technology to solve the issues we face on a daily basis. These issues range from our quality-of-life to the survival of our species.

In this class we choose an issue facing our society, identity solutions and examine several technologies we can use to solve this issue. Available technologies are augmented reality, virtual reality, mobile applications.

Each student will walk away from this class with a proposal, and a working prototype of their solution."
INNOVATION HUBS: INTEGRATING TECHNOLOGY AND DESIGN ,"Technology and Design can and have been considered separate fields. Interaction between the two has occurred only when the production process required their collaboration. That is the past. Today the lines between technology and design are fading to where they are codependent on each other if not actually the same. Integrating Technology and Design covers the wide range of possibilities when technology and design are considered as equal parts of a greater whole. In this class we can regard a working technology and a finished design as incomplete without it’s counterpart.

In this class, students are positioned to design a solution as well as implement the technology supporting the design. The final projects will be working prototypes that illustrate the integration, and necessary fusion of Technology and Design. Projects can use software or hardware based technologies as well as screen based 2D, 3D, or industrial designs in nature.

It is not necessary for the technology to be build from the ground up. The students will be introduced to resources for using open-source software and hardware as well as physical designs for their prototypes. 

Integrating Technology and Design presents an opportunity to benefit from the collaboration between technology and design, understand why this is already happening in the larger tech companies as well as startups, and produce a working prototype that takes advantage of this union."
CONTEXT MAPPING ,"“Designing Playable Cities : Game Design in the Urban Context”
Context mapping is a qualitative design research approach that invites 
contextually aggregated data, owners of the data, and actors to innovative 
design spaces. It has originally evolved for designing and developing 
innovative products and services in a co-creative design process, while 
it critically focuses on user experiences embedded in the everyday life. 
The approach is seamlessly linked to the idea of the living lab, the 
emerging new research technique for designing IoT. By the generative 
techniques of context mapping, we could facilitate a living lab setting 
more relevant and organic. 

In the 2018 fall semester, Context mapping class will look into the field of 
urban digital experience that is effectively conceptualized by game design 
technologies, and social interaction frameworks. The prior knowledge 
on basic 3D and game engine are essentially positive to comprehend the 
coursework and homework."
HISTORY OF ISLAMIC IRAN ,"This course will give students an introduction to the history of medieval Iran and the Middle East between the seventh and fifteenth centuries. 
Students will explore the role of Sasanian, Islamic and Turco-Mongolian traditions of kingship and statehood in the formation of an `Iranian` political 
identity at the start of the modern era. Some of the themes that will be explored in this course include empire, popular religion, kingship, and cultural 
identity. 
This course is intended to advance the students understanding of global processes, to improve their ability to conduct independent research, to read 
both primary sources and modern sources critically, and to develop critical thinking and reasoning skills in a historical context. Having completed this course students will be able to:
-	Demonstrate an understanding of the key themes of medieval Iranian history
-	Analyse and explicate major ideas associated with the history of Iran
-	Use period sources to reconstruct attitudes, beliefs and arguments from the past
-	Construct evidence-based arguments about the legacy of important events in Iranian history.
This course will be conducted entirely in English."
AS LHP: MODERN JAPANESE LITERATURE ,"In this course, we will read select works by some of the most critically acclaimed and commercially successful contemporary Japanese authors. We will begin with latest fiction by the globally bestselling Haruki Murakami and continue on with his younger contemporaries. Our inquiry will be twofold, i.e., content and form. What common thematic concerns of Japanese and/or global contemporaniety emerge among these works? What representational techniques and/or genre conventions serve those concerns most effectively? We will consider these works both individually and collectively."
MEDIA AND CULTURE IN ASIA ,"The aim of the course is to introduce to students a basic body of knowledge that will enable them to understand varied social phenomena relating to digital media and popular culture. To do this, this course will offer students with opportunities to familiarize themselves with concepts and issues regarding digital media. Various themes and issues will be addressed throughout the course ranging from the political, economic aspect of digital media to the relationship between digital media and everyday life."
WRITING CULTURES IN ASIA ,"This course is designed to introduce students to some of the research methods available for use in cultural anthropology . Students will learn key concepts in anthropology to understand different aspects of culture such as social relations, pop culture, gender issues, identity politics, etc. Students are also required to design and conduct an independent project which includes a miniature fieldwork and a ethnography."
GENDER AND KOREAN SOCIETY ,"This class aims to introduce basic concepts and theories about gender and sexuality,
 and to encourage you to see many ways that sexuality is connected to politics, 
culture, science, economy and so on. It explores gender and Korean society issues 
from the opening of modern era to current social ones such as family, 
education fever, multiculturalism and immigration, discrimination, misogyny 
and hallyu. Through these themes, this course is aimed to expand our 
understanding of Korean society and build our own perspectives."
VISUAL ANTHROPOLOGY AND EAST ASIA: METHODOLOGY AND PRACTICE FOR DOCUMENTARY PRODUCTION ,"“This class is designated as a Social Innovation Certificate (SIC) course. The course contents and practices will be related to social innovation and social problem solving. Also, Institute of Higher Education Innovation (IHEI) may collect and accumulate student assignments and course contents for further purpose. For more details regarding the SIC, please visit the IHEI`s website, http://ihei.yonsei.ac.kr.”

This course is designed to combine voluntary activities for homeless people around Seoul station area where many dosshouses are located with ethnographic research practice. Students are asked to participate in cleaning dosshouses, cooking food for homeless, while they study what are main issues of urban poor problems, how they are mingled with legal, social aspects. In-depth interview will be conducted as a research methodology, and small exhibition will be at the end of the semester."
비교정치체제론 ,"This class is a survey on political regime that is a basic concept and theoretical framework of comparative politics. In modern politics, democratic regime and authoritarian (and other types of non-democratic regimes) are the two primary groups of political regime. After understanding their definitions, logics and dynamics, this class aims at studying how different regimes influence interaction between political economy and state-society relations as well as between domestic politics and international politics from theoretical, empirical and policy perspectives."
